ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
000757,浩物股份,top,SHORT,2.0,,4.13,2026-05-27,4.98,2026-05-11,miss,2/5,"R1,R3,R4",,True,0.694,True,OB+FVG,W,4.97,6.48,三推顶 4.86→4.87→4.98 回撤 81%/78% | 周线OB+FVG [4.97-6.48] | 空: 入¥4.98 止¥6.54 标¥4.43 R:R 0.4
600477,杭萧钢构,bottom,LONG,2.0,,2.74,2026-05-27,2.73,2026-05-27,miss,2/5,"R2,R3,R4",,True,0.722,True,OB+FVG,W,2.65,2.8,三推底 3.03→2.91→2.73 反弹 75%/67% | 周线OB+FVG [2.65-2.80] | 多: 入¥2.73 止¥2.62 标¥3.31 R:R 5.4
601700,风范股份,bottom,LONG,2.0,,5.34,2026-05-27,5.23,2026-05-26,miss,1/5,"R1,R2,R3,R4",,True,0.842,True,OB+FVG,W,4.87,5.37,三推底 5.50→5.32→5.23 反弹 70%/75% | 周线OB+FVG [4.87-5.37] | 多: 入¥5.23 止¥4.82 标¥5.87 R:R 1.6
601825,沪农商行,top,SHORT,2.0,,8.37,2026-05-27,9.31,2026-04-15,miss,1/5,"R1,R2,R3,R4",,True,0.355,True,OB+FVG,W,9.01,9.33,三推顶 8.70→8.96→9.31 回撤 70%/61% | 周线OB+FVG [9.01-9.33] | 空: 入¥9.31 止¥9.42 标¥8.20 R:R 9.8
603477,巨星农牧,top,SHORT,2.0,,16.08,2026-05-27,19.39,2026-05-14,miss,2/5,"R1,R2,R3",,True,0.599,True,OB+FVG,W,18.36,19.51,三推顶 19.08→19.23→19.39 回撤 85%/73% | 周线OB+FVG [18.36-19.51] | 空: 入¥19.39 止¥19.71 标¥16.95 R:R 7.7
603816,顾家家居,bottom,LONG,2.0,,29.27,2026-05-27,28.17,2026-05-22,loose,4/5,R2,0.206,True,0.371,True,FVG,W,27.75,28.27,"三推底 32.65→28.33→28.17 反弹 83%/86% | MACD宽松底背离 (4/5, 差R2, 强度 0.21) | 周线FVG [27.75-28.27] | 多: 入¥28.17 止¥27.47 标¥34.93 R:R 9.7"
688726,拉普拉斯,bottom,LONG,2.0,,63.13,2026-05-27,62.19,2026-05-27,miss,2/5,"R1,R3,R4",,True,0.794,True,OB+FVG,W,57.98,67.68,三推底 67.18→63.59→62.19 反弹 80%/76% | 周线OB+FVG [57.98-67.68] | 多: 入¥62.19 止¥57.40 标¥76.48 R:R 3.0
000593,德龙汇能,bottom,LONG,1.5,,21.78,2026-05-27,20.22,2026-05-26,miss,1/5,"R1,R2,R3,R4",,True,0.442,True,FVG,W,19.45,21.76,三推底 24.04→21.99→20.22 反弹 85%/69% | 周线FVG [19.45-21.76] | 多: 入¥20.22 止¥19.26 标¥27.88 R:R 7.9
000626,远大控股,top,SHORT,1.5,,7.49,2026-05-27,9.64,2026-05-08,miss,2/5,"R1,R2,R4",,True,0.434,True,OB,W,6.43,9.76,三推顶 9.20→9.60→9.64 回撤 79%/62% | 周线OB [6.43-9.76] | 空: 入¥9.64 止¥9.86 标¥8.23 R:R 6.5
000633,合金投资,bottom,LONG,1.5,,5.78,2026-05-27,5.73,2026-05-27,loose,4/5,R4,0.164,False,,True,OB+FVG,W,5.5,5.96,"MACD宽松底背离 (4/5, 差R4, 强度 0.16) | 周线OB+FVG [5.50-5.96] | 多: 入¥5.73 止¥5.45（无明确目标，仅PDA命中）"
000685,中山公用,top,SHORT,1.5,,11.83,2026-05-27,13.04,2026-05-19,miss,2/5,"R2,R3,R4",,True,0.74,True,OB,W,12.29,13.7,三推顶 11.36→11.89→13.04 回撤 79%/71% | 周线OB [12.29-13.70] | 空: 入¥13.04 止¥13.84 标¥10.38 R:R 3.3
000969,安泰科技,top,SHORT,1.5,,24.36,2026-05-27,24.92,2026-05-27,miss,1/5,"R1,R2,R3,R4",,True,0.473,True,OB,W,23.8,25.63,三推顶 22.21→22.79→24.92 回撤 81%/85% | 周线OB [23.80-25.63] | 空: 入¥24.92 止¥25.89 标¥20.00 R:R 5.1
001278,一彬科技,top,SHORT,1.5,,18.92,2026-05-27,23.8,2026-05-08,miss,2/5,"R1,R3,R4",,True,0.631,True,OB,W,21.64,23.8,三推顶 22.10→23.38→23.80 回撤 85%/76% | 周线OB [21.64-23.80] | 空: 入¥23.80 止¥24.04 标¥20.92 R:R 12.1
001316,润贝航科,bottom,LONG,1.5,,37.69,2026-05-27,37.26,2026-05-27,miss,1/5,"R1,R2,R3,R4",,True,0.721,True,FVG,W,36.79,40.61,三推底 41.97→39.49→37.26 反弹 80%/79% | 周线FVG [36.79-40.61] | 多: 入¥37.26 止¥36.42 标¥45.06 R:R 9.3
001324,长青科技,bottom,LONG,1.5,,18.97,2026-05-27,18.86,2026-05-27,miss,1/5,"R1,R2,R3,R4",,True,0.743,True,OB,W,17.72,19.52,三推底 20.58→19.81→18.86 反弹 69%/74% | 周线OB [17.72-19.52] | 多: 入¥18.86 止¥17.54 标¥21.85 R:R 2.3
001395,亚联机械,top,SHORT,1.5,,35.99,2026-05-27,40.88,2026-04-22,miss,1/5,"R1,R2,R3,R4",,True,0.599,True,FVG,W,39.99,41.66,三推顶 39.78→39.98→40.88 回撤 75%/87% | 周线FVG [39.99-41.66] | 空: 入¥40.88 止¥42.08 标¥37.00 R:R 3.2
001896,豫能控股,top,SHORT,1.5,,15.74,2026-05-27,17.3,2026-05-25,miss,2/5,"R2,R3,R4",,True,0.546,True,OB,W,14.58,17.7,三推顶 16.19→16.37→17.30 回撤 83%/81% | 周线OB [14.58-17.70] | 空: 入¥17.30 止¥17.88 标¥14.51 R:R 4.8
002026,山东威达,top,SHORT,1.5,,12.25,2026-05-27,13.54,2026-05-08,miss,1/5,"R1,R2,R3,R4",,True,0.562,True,FVG,W,13.07,13.54,三推顶 13.05→13.45→13.54 回撤 62%/74% | 周线FVG [13.07-13.54] | 空: 入¥13.54 止¥13.68 标¥12.12 R:R 10.5
002039,黔源电力,bottom,LONG,1.5,,21.3,2026-05-27,19.78,2026-05-22,miss,2/5,"R1,R3,R4",,True,0.464,True,OB,W,18.1,20.74,三推底 20.13→20.01→19.78 反弹 70%/86% | 周线OB [18.10-20.74] | 多: 入¥19.78 止¥17.92 标¥22.08 R:R 1.2
002056,横店东磁,top,SHORT,1.5,,24.52,2026-05-27,25.25,2026-05-27,miss,1/5,"R1,R2,R3,R4",,True,0.463,True,OB,W,20.45,25.84,三推顶 19.97→20.15→25.25 回撤 79%/63% | 周线OB [20.45-25.84] | 空: 入¥25.25 止¥26.10 标¥17.88 R:R 8.7
002106,莱宝高科,top,SHORT,1.5,,12.27,2026-05-27,12.33,2026-05-27,miss,1/5,"R1,R2,R3,R4",,True,0.518,True,OB,W,11.72,12.93,三推顶 10.96→11.34→12.33 回撤 85%/71% | 周线OB [11.72-12.93] | 空: 入¥12.33 止¥13.06 标¥10.28 R:R 2.8
002195,岩山科技,bottom,LONG,1.5,,7.86,2026-05-27,7.84,2026-05-27,miss,1/5,"R1,R2,R3,R4",,True,0.549,True,FVG,W,7.18,10.6,三推底 8.57→8.28→7.84 反弹 68%/81% | 周线FVG [7.18-10.60] | 多: 入¥7.84 止¥7.11 标¥9.41 R:R 2.1
002351,漫步者,top,SHORT,1.5,,11.17,2026-05-27,11.55,2026-05-26,miss,3/5,"R2,R3",,True,0.485,True,OB,W,11.19,11.67,三推顶 11.23→11.28→11.55 回撤 81%/84% | 周线OB [11.19-11.67] | 空: 入¥11.55 止¥11.79 标¥10.59 R:R 4.1
002402,和而泰,top,SHORT,1.5,,29.43,2026-05-27,33.92,2026-05-11,miss,1/5,"R1,R2,R3,R4",,True,0.743,True,FVG,W,33.58,35.86,三推顶 30.55→33.59→33.92 回撤 74%/68% | 周线FVG [33.58-35.86] | 空: 入¥33.92 止¥36.22 标¥28.68 R:R 2.3
002422,科伦药业,bottom,LONG,1.5,,35.68,2026-05-27,30.3,2026-05-18,miss,1/5,"R1,R2,R3,R4",,True,0.794,True,FVG,W,29.04,31.36,三推底 32.97→32.09→30.30 反弹 78%/72% | 周线FVG [29.04-31.36] | 多: 入¥30.30 止¥28.75 标¥36.39 R:R 3.9
002492,恒基达鑫,top,SHORT,1.5,,6.47,2026-05-27,8.36,2026-04-27,miss,1/5,"R1,R2,R3,R4",,True,0.537,True,FVG,W,8.35,8.67,三推顶 7.57→8.08→8.36 回撤 66%/80% | 周线FVG [8.35-8.67] | 空: 入¥8.36 止¥8.76 标¥6.98 R:R 3.5
002515,金字火腿,top,SHORT,1.5,,6.49,2026-05-27,8.1,2026-05-19,miss,2/5,"R2,R3,R4",,True,0.262,True,OB,W,6.88,8.47,三推顶 6.85→7.80→8.10 回撤 84%/61% | 周线OB [6.88-8.47] | 空: 入¥8.10 止¥8.55 标¥5.88 R:R 4.9
002562,兄弟科技,bottom,LONG,1.5,,5.14,2026-05-27,5.12,2026-05-27,miss,2/5,"R2,R3,R4",,True,0.491,True,FVG,W,4.91,5.28,三推底 5.77→5.42→5.12 反弹 80%/86% | 周线FVG [4.91-5.28] | 多: 入¥5.12 止¥4.86 标¥6.21 R:R 4.2
002733,雄韬股份,bottom,LONG,1.5,,33.8,2026-05-27,25.18,2026-05-21,miss,2/5,"R1,R3,R4",,True,0.128,True,OB,W,24.38,26.95,三推底 28.70→27.10→25.18 反弹 89%/63% | 周线OB [24.38-26.95] | 多: 入¥25.18 止¥24.14 标¥32.58 R:R 7.1
