ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
000899,赣能股份,bottom,LONG,2.0,,9.35,2026-09-07,9.29,2026-09-07,miss,2/5,"R2,R3,R4",,True,0.894,True,OB+FVG,W,9.08,9.51,三推底 10.60→10.29→9.29 反弹 78%/75% | 周线OB+FVG [9.08-9.51] | 多: 入¥9.29 止¥8.99 标¥11.77 R:R 8.2
002312,川发龙蟒,top,SHORT,2.0,,8.49,2026-09-07,8.8,2026-09-01,miss,2/5,"R1,R2,R3",,True,0.159,True,OB+FVG,W,8.53,10.84,三推顶 8.33→8.67→8.80 回撤 64%/89% | 周线OB+FVG [8.53-10.84] | 空: 入¥8.80 止¥10.95 标¥7.86 R:R 0.4
603071,物产环能,top,SHORT,2.0,,12.63,2026-09-07,13.2,2026-08-18,miss,1/5,"R1,R2,R3,R4",,True,0.397,True,OB+FVG,W,12.92,14.11,三推顶 11.82→12.16→13.20 回撤 66%/66% | 周线OB+FVG [12.92-14.11] | 空: 入¥13.20 止¥14.25 标¥10.89 R:R 2.2
000573,粤宏远Ａ,top,SHORT,1.5,,3.82,2026-09-07,3.93,2026-09-01,miss,2/5,"R1,R3,R4",,True,0.494,True,FVG,W,3.66,3.93,三推顶 3.66→3.81→3.93 回撤 61%/76% | 周线FVG [3.66-3.93] | 空: 入¥3.93 止¥3.97 标¥3.35 R:R 14.8
000737,北方铜业,top,SHORT,1.5,,14.33,2026-09-07,15.69,2026-08-26,miss,3/5,"R3,R4",,True,0.601,True,FVG,W,15.23,16.17,三推顶 14.69→14.95→15.69 回撤 65%/73% | 周线FVG [15.23-16.17] | 空: 入¥15.69 止¥16.33 标¥12.71 R:R 4.6
000755,山西高速,top,SHORT,1.5,,4.87,2026-09-07,4.92,2026-09-01,miss,1/5,"R1,R2,R3,R4",,True,0.784,True,FVG,W,4.77,4.98,三推顶 4.77→4.80→4.92 回撤 75%/81% | 周线FVG [4.77-4.98] | 空: 入¥4.92 止¥5.03 标¥4.45 R:R 4.3
000813,德展健康,top,SHORT,1.5,,3.75,2026-09-07,3.77,2026-09-07,miss,3/5,"R2,R3",,True,0.633,True,OB,W,3.72,4.06,三推顶 3.48→3.61→3.77 回撤 65%/74% | 周线OB [3.72-4.06] | 空: 入¥3.77 止¥4.10 标¥3.14 R:R 1.9
000897,津滨发展,top,SHORT,1.5,,1.88,2026-09-07,1.91,2026-09-01,miss,1/5,"R1,R2,R3,R4",,True,0.286,True,OB,W,1.88,2.01,三推顶 1.79→1.84→1.91 回撤 64%/86% | 周线OB [1.88-2.01] | 空: 入¥1.91 止¥2.03 标¥1.65 R:R 2.2
000997,新 大 陆,top,SHORT,1.5,,21.07,2026-09-07,22.56,2026-09-04,miss,2/5,"R1,R2,R3",,True,0.536,True,OB,W,22.01,24.81,三推顶 18.28→19.47→22.56 回撤 67%/69% | 周线OB [22.01-24.81] | 空: 入¥22.56 止¥25.06 标¥15.16 R:R 3.0
001359,平安电工,bottom,LONG,1.5,,83.51,2026-09-07,79.15,2026-09-04,miss,1/5,"R1,R2,R3,R4",,True,0.366,True,FVG,W,76.66,80.5,三推底 88.50→83.60→79.15 反弹 65%/66% | 周线FVG [76.66-80.50] | 多: 入¥79.15 止¥75.89 标¥98.26 R:R 5.9
