ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
600477,杭萧钢构,bottom,LONG,2.0,,2.75,2026-06-02,2.73,2026-05-29,miss,2/5,"R2,R3,R4",,True,0.722,True,OB+FVG,W,2.65,2.8,三推底 3.03→2.91→2.73 反弹 75%/67% | 周线OB+FVG [2.65-2.80] | 多: 入¥2.73 止¥2.62 标¥3.31 R:R 5.4
603166,福达股份,top,SHORT,2.0,,12.36,2026-06-02,15.32,2026-05-15,miss,1/5,"R1,R2,R3,R4",,True,0.498,True,OB+FVG,W,14.12,15.32,三推顶 13.66→14.10→15.32 回撤 69%/84% | 周线OB+FVG [14.12-15.32] | 空: 入¥15.32 止¥15.47 标¥12.31 R:R 19.6
603477,巨星农牧,top,SHORT,2.0,,15.46,2026-06-02,19.39,2026-05-14,miss,2/5,"R1,R2,R3",,True,0.599,True,OB+FVG,W,18.36,19.51,三推顶 19.08→19.23→19.39 回撤 85%/73% | 周线OB+FVG [18.36-19.51] | 空: 入¥19.39 止¥19.71 标¥16.95 R:R 7.7
603778,国晟科技,bottom,LONG,2.0,,18.28,2026-06-02,16.61,2026-05-29,miss,2/5,"R1,R3,R4",,True,0.398,True,OB+FVG,W,13.56,17.37,三推底 25.12→21.00→16.61 反弹 65%/67% | 周线OB+FVG [13.56-17.37] | 多: 入¥16.61 止¥13.42 标¥28.00 R:R 3.6
603816,顾家家居,bottom,LONG,2.0,,29.39,2026-06-02,28.06,2026-05-28,loose,4/5,R2,0.194,True,0.371,True,FVG,W,27.75,28.27,"三推底 32.65→28.33→28.06 反弹 83%/86% | MACD宽松底背离 (4/5, 差R2, 强度 0.19) | 周线FVG [27.75-28.27] | 多: 入¥28.06 止¥27.47 标¥34.93 R:R 11.7"
000027,深圳能源,top,SHORT,1.5,,8.02,2026-06-02,8.45,2026-05-29,miss,1/5,"R1,R2,R3,R4",,True,0.061,True,OB,W,6.93,8.48,三推顶 7.60→8.08→8.45 回撤 60%/88% | 周线OB [6.93-8.48] | 空: 入¥8.45 止¥8.56 标¥6.82 R:R 14.2
000633,合金投资,bottom,LONG,1.5,,5.69,2026-06-02,5.54,2026-05-29,loose,4/5,R4,0.178,False,,True,OB+FVG,W,5.5,5.96,"MACD宽松底背离 (4/5, 差R4, 强度 0.18) | 周线OB+FVG [5.50-5.96] | 多: 入¥5.54 止¥5.45（无明确目标，仅PDA命中）"
000685,中山公用,top,SHORT,1.5,,11.34,2026-06-02,13.04,2026-05-19,miss,2/5,"R2,R3,R4",,True,0.74,True,OB,W,12.29,13.7,三推顶 11.36→11.89→13.04 回撤 79%/71% | 周线OB [12.29-13.70] | 空: 入¥13.04 止¥13.84 标¥10.38 R:R 3.3
001278,一彬科技,top,SHORT,1.5,,18.31,2026-06-02,23.8,2026-05-08,miss,2/5,"R1,R3,R4",,True,0.631,True,OB,W,21.64,23.8,三推顶 22.10→23.38→23.80 回撤 85%/76% | 周线OB [21.64-23.80] | 空: 入¥23.80 止¥24.04 标¥20.92 R:R 12.1
001316,润贝航科,bottom,LONG,1.5,,36.12,2026-06-02,35.66,2026-06-02,miss,1/5,"R1,R2,R3,R4",,True,0.721,True,OB,W,34.03,36.14,三推底 41.97→39.49→35.66 反弹 80%/79% | 周线OB [34.03-36.14] | 多: 入¥35.66 止¥33.69 标¥45.06 R:R 4.8
