ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
000899,赣能股份,bottom,LONG,2.0,,9.47,2026-08-31,9.32,2026-08-24,miss,2/5,"R2,R3,R4",,True,0.894,True,OB+FVG,W,9.08,9.51,三推底 10.60→10.29→9.32 反弹 78%/75% | 周线OB+FVG [9.08-9.51] | 多: 入¥9.32 止¥8.99 标¥11.77 R:R 7.4
601921,浙版传媒,top,SHORT,2.0,,7.48,2026-08-31,7.73,2026-08-18,miss,2/5,"R1,R3,R4",,True,0.075,True,OB+FVG,W,7.14,7.8,三推顶 7.21→7.49→7.73 回撤 60%/62% | 周线OB+FVG [7.14-7.80] | 空: 入¥7.73 止¥7.88 标¥6.63 R:R 7.4
603071,物产环能,top,SHORT,2.0,,12.67,2026-08-31,13.2,2026-08-18,miss,1/5,"R1,R2,R3,R4",,True,0.397,True,OB+FVG,W,12.92,14.11,三推顶 11.82→12.16→13.20 回撤 66%/66% | 周线OB+FVG [12.92-14.11] | 空: 入¥13.20 止¥14.25 标¥10.89 R:R 2.2
603558,健盛集团,top,SHORT,2.0,,12.02,2026-08-31,12.94,2026-07-30,miss,1/5,"R1,R2,R3,R4",,True,0.854,True,OB+FVG,W,12.76,13.67,三推顶 12.20→12.28→12.94 回撤 73%/78% | 周线OB+FVG [12.76-13.67] | 空: 入¥12.94 止¥13.81 标¥10.97 R:R 2.3
000019,深粮控股,top,SHORT,1.5,,7.2,2026-08-31,7.41,2026-08-28,miss,1/5,"R1,R2,R3,R4",,True,0.515,True,FVG,W,7.1,7.56,三推顶 6.31→6.96→7.41 回撤 80%/65% | 周线FVG [7.10-7.56] | 空: 入¥7.41 止¥7.64 标¥5.87 R:R 6.8
000737,北方铜业,top,SHORT,1.5,,15.19,2026-08-31,15.69,2026-08-26,miss,2/5,"R1,R3,R4",,True,0.601,True,FVG,W,15.23,16.17,三推顶 14.69→14.95→15.69 回撤 65%/73% | 周线FVG [15.23-16.17] | 空: 入¥15.69 止¥16.33 标¥12.71 R:R 4.6
000755,山西高速,top,SHORT,1.5,,4.82,2026-08-31,4.84,2026-08-17,miss,1/5,"R1,R2,R3,R4",,True,0.784,True,FVG,W,4.77,4.98,三推顶 4.77→4.80→4.84 回撤 75%/81% | 周线FVG [4.77-4.98] | 空: 入¥4.84 止¥5.03 标¥4.45 R:R 2.1
001316,润贝航科,top,SHORT,1.5,,27.51,2026-08-31,27.52,2026-08-31,miss,2/5,"R1,R3,R4",,True,0.345,True,FVG,W,26.22,29.6,三推顶 25.80→27.40→27.52 回撤 66%/65% | 周线FVG [26.22-29.60] | 空: 入¥27.52 止¥29.90 标¥24.02 R:R 1.5
002009,天奇股份,top,SHORT,1.5,,16.61,2026-08-31,18.57,2026-08-04,miss,2/5,"R1,R3,R4",,True,0.414,True,OB,W,18.42,22.44,三推顶 16.14→16.60→18.57 回撤 79%/62% | 周线OB [18.42-22.44] | 空: 入¥18.57 止¥22.66 标¥15.27 R:R 0.8
002016,世荣兆业,top,SHORT,1.5,,4.71,2026-08-31,4.79,2026-08-28,miss,2/5,"R1,R3,R4",,True,0.63,True,OB,W,4.59,5.02,三推顶 4.66→4.67→4.79 回撤 74%/85% | 周线OB [4.59-5.02] | 空: 入¥4.79 止¥5.07 标¥4.32 R:R 1.7
002019,亿帆医药,top,SHORT,1.5,,9.78,2026-08-31,10.92,2026-08-20,miss,2/5,"R1,R2,R3",,True,0.217,True,FVG,W,10.87,11.1,三推顶 10.36→10.90→10.92 回撤 64%/88% | 周线FVG [10.87-11.10] | 空: 入¥10.92 止¥11.21 标¥9.80 R:R 3.8
002079,苏州固锝,top,SHORT,1.5,,9.41,2026-08-31,10.14,2026-08-17,miss,2/5,"R1,R3,R4",,True,0.793,True,FVG,W,9.7,13.0,三推顶 9.08→9.18→10.14 回撤 79%/72% | 周线FVG [9.70-13.00] | 空: 入¥10.14 止¥13.13 标¥8.33 R:R 0.6
002128,电投能源,top,SHORT,1.5,,29.43,2026-08-31,29.52,2026-08-31,miss,1/5,"R1,R2,R3,R4",,True,0.601,True,OB,W,29.01,31.14,三推顶 27.89→28.19→29.52 回撤 82%/70% | 周线OB [29.01-31.14] | 空: 入¥29.52 止¥31.45 标¥25.13 R:R 2.3
002303,美盈森,top,SHORT,1.5,,5.69,2026-08-31,5.69,2026-08-31,loose,4/5,R2,0.199,True,0.875,False,,,,,"三推顶 4.71→5.61→5.69 回撤 74%/78% | MACD宽松顶背离 (4/5, 差R2, 强度 0.20)"
002327,富安娜,top,SHORT,1.5,,6.34,2026-08-31,6.73,2026-08-24,miss,2/5,"R1,R3,R4",,True,0.306,True,FVG,W,6.45,6.75,三推顶 6.46→6.56→6.73 回撤 64%/84% | 周线FVG [6.45-6.75] | 空: 入¥6.73 止¥6.82 标¥5.91 R:R 9.4
002463,沪电股份,bottom,LONG,1.5,,124.91,2026-08-31,112.22,2026-08-25,miss,1/5,"R1,R2,R3,R4",,True,0.658,True,OB,W,101.8,114.46,三推底 120.29→112.50→112.22 反弹 68%/78% | 周线OB [101.80-114.46] | 多: 入¥112.22 止¥100.78 标¥127.77 R:R 1.4
002466,天齐锂业,top,SHORT,1.5,,49.9,2026-08-31,50.98,2026-08-28,miss,2/5,"R1,R3,R4",,True,0.363,True,FVG,W,50.98,56.79,三推顶 49.79→50.88→50.98 回撤 66%/85% | 周线FVG [50.98-56.79] | 空: 入¥50.98 止¥57.36 标¥43.88 R:R 1.1
002468,申通快递,top,SHORT,1.5,,13.97,2026-08-31,14.87,2026-08-18,miss,1/5,"R1,R2,R3,R4",,True,0.568,True,FVG,W,14.19,15.87,三推顶 14.52→14.86→14.87 回撤 72%/65% | 周线FVG [14.19-15.87] | 空: 入¥14.87 止¥16.03 标¥13.18 R:R 1.5
002475,立讯精密,bottom,LONG,1.5,,57.62,2026-08-31,52.8,2026-08-20,miss,3/5,"R2,R3",,True,0.252,True,FVG,W,51.11,57.5,三推底 59.80→53.12→52.80 反弹 84%/61% | 周线FVG [51.11-57.50] | 多: 入¥52.80 止¥50.60 标¥63.02 R:R 4.6
002773,康弘药业,bottom,LONG,1.5,,20.28,2026-08-31,20.12,2026-08-31,miss,1/5,"R1,R2,R3,R4",,True,0.179,True,OB,W,19.35,20.57,三推底 21.55→20.91→20.12 反弹 90%/85% | 周线OB [19.35-20.57] | 多: 入¥20.12 止¥19.16 标¥24.13 R:R 4.2
002959,小熊电器,top,SHORT,1.5,,32.85,2026-08-31,35.08,2026-08-10,miss,2/5,"R1,R3,R4",,True,0.276,True,FVG,W,34.7,35.74,三推顶 33.42→34.02→35.08 回撤 67%/89% | 周线FVG [34.70-35.74] | 空: 入¥35.08 止¥36.10 标¥30.80 R:R 4.2
300079,数码视讯,top,SHORT,1.5,,4.8,2026-08-31,4.82,2026-08-31,miss,1/5,"R1,R2,R3,R4",,True,0.339,True,FVG,W,4.76,4.91,三推顶 4.29→4.68→4.82 回撤 89%/70% | 周线FVG [4.76-4.91] | 空: 入¥4.82 止¥4.96 标¥4.10 R:R 5.2
300105,龙源技术,bottom,LONG,1.5,,7.79,2026-08-31,7.38,2026-08-24,miss,1/5,"R1,R2,R3,R4",,True,0.803,True,OB,W,6.74,7.49,三推底 9.07→7.43→7.38 反弹 71%/73% | 周线OB [6.74-7.49] | 多: 入¥7.38 止¥6.67 标¥10.34 R:R 4.2
300553,集智股份,top,SHORT,1.5,,46.02,2026-08-31,46.4,2026-08-31,miss,1/5,"R1,R2,R3,R4",,True,0.507,True,FVG,W,43.94,57.0,三推顶 44.40→45.50→46.40 回撤 63%/72% | 周线FVG [43.94-57.00] | 空: 入¥46.40 止¥57.57 标¥39.77 R:R 0.6
300738,奥飞数据,top,SHORT,1.5,,20.39,2026-08-31,24.18,2026-08-14,miss,2/5,"R1,R3,R4",,True,0.59,True,FVG,W,22.35,24.3,三推顶 22.00→23.99→24.18 回撤 74%/64% | 周线FVG [22.35-24.30] | 空: 入¥24.18 止¥24.54 标¥20.80 R:R 9.3
301177,迪阿股份,top,SHORT,1.5,,24.65,2026-08-31,28.73,2026-08-26,miss,2/5,"R1,R3,R4",,True,0.499,True,OB,W,25.66,32.6,三推顶 21.70→24.07→28.73 回撤 79%/64% | 周线OB [25.66-32.60] | 空: 入¥28.73 止¥32.93 标¥20.35 R:R 2.0
600195,中牧股份,top,SHORT,1.5,,6.83,2026-08-31,6.96,2026-08-26,miss,1/5,"R1,R2,R3,R4",,True,0.427,True,FVG,W,6.93,7.12,三推顶 6.36→6.76→6.96 回撤 78%/61% | 周线FVG [6.93-7.12] | 空: 入¥6.96 止¥7.19 标¥5.85 R:R 4.8
600299,安迪苏,top,SHORT,1.5,,8.64,2026-08-31,8.89,2026-08-28,miss,2/5,"R1,R3,R4",,True,0.629,True,FVG,W,8.69,9.53,三推顶 8.78→8.86→8.89 回撤 74%/86% | 周线FVG [8.69-9.53] | 空: 入¥8.89 止¥9.63 标¥7.96 R:R 1.3
600329,达仁堂,bottom,LONG,1.5,,36.04,2026-08-31,35.32,2026-08-21,miss,1/5,"R1,R2,R3,R4",,True,0.626,True,FVG,W,34.86,36.09,三推底 36.60→36.10→35.32 反弹 77%/84% | 周线FVG [34.86-36.09] | 多: 入¥35.32 止¥34.51 标¥40.30 R:R 6.2
