ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
000513,丽珠集团,top,SHORT,2.0,,31.32,2026-07-15,31.55,2026-07-15,miss,1/5,"R1,R2,R3,R4",,True,0.558,True,OB+FVG,W,29.71,31.92,三推顶 29.99→31.26→31.55 回撤 76%/63% | 周线OB+FVG [29.71-31.92] | 空: 入¥31.55 止¥32.24 标¥28.43 R:R 4.5
300785,值得买,bottom,LONG,2.0,,34.8,2026-07-15,32.45,2026-07-14,miss,2/5,"R2,R3,R4",,True,0.713,True,OB+FVG,W,31.7,36.61,三推底 35.86→33.92→32.45 反弹 69%/73% | 周线OB+FVG [31.70-36.61] | 多: 入¥32.45 止¥31.38 标¥41.85 R:R 8.8
301358,湖南裕能,bottom,LONG,2.0,,63.37,2026-07-15,60.88,2026-07-13,miss,2/5,"R2,R3,R4",,True,0.287,True,OB+FVG,W,53.22,61.0,三推底 88.78→67.31→60.88 反弹 62%/67% | 周线OB+FVG [53.22-61.00] | 多: 入¥60.88 止¥52.69 标¥100.96 R:R 4.9
301360,荣旗科技,bottom,LONG,2.0,,55.31,2026-07-15,54.98,2026-07-15,miss,1/5,"R1,R2,R3,R4",,True,0.478,True,OB+FVG,W,49.7,56.56,三推底 68.91→66.56→54.98 反弹 62%/78% | 周线OB+FVG [49.70-56.56] | 多: 入¥54.98 止¥49.20 标¥85.53 R:R 5.3
600211,西藏药业,top,SHORT,2.0,,40.07,2026-07-15,40.7,2026-07-15,miss,1/5,"R1,R2,R3,R4",,True,0.644,True,OB+FVG,W,40.07,42.4,三推顶 38.00→39.72→40.70 回撤 81%/70% | 周线OB+FVG [40.07-42.40] | 空: 入¥40.70 止¥42.82 标¥35.04 R:R 2.7
688211,中科微至,top,SHORT,2.0,,32.57,2026-07-15,36.82,2026-07-10,miss,1/5,"R1,R2,R3,R4",,True,0.434,True,OB+FVG,W,34.73,38.66,三推顶 34.82→36.28→36.82 回撤 83%/66% | 周线OB+FVG [34.73-38.66] | 空: 入¥36.82 止¥39.05 标¥30.95 R:R 2.6
000829,天音控股,top,SHORT,1.5,,8.29,2026-07-15,8.43,2026-07-15,miss,2/5,"R1,R3,R4",,True,0.576,True,FVG,W,8.26,8.63,三推顶 7.98→8.36→8.43 回撤 63%/74% | 周线FVG [8.26-8.63] | 空: 入¥8.43 止¥8.72 标¥7.00 R:R 5.0
000901,航天科技,bottom,LONG,1.5,,14.62,2026-07-15,14.5,2026-07-15,miss,2/5,"R2,R3,R4",,True,0.732,True,FVG,W,13.49,17.7,三推底 16.95→15.90→14.50 反弹 72%/80% | 周线FVG [13.49-17.70] | 多: 入¥14.50 止¥13.36 标¥19.00 R:R 3.9
002007,华兰生物,top,SHORT,1.5,,13.32,2026-07-15,13.45,2026-07-15,miss,2/5,"R1,R3,R4",,True,0.012,True,OB,W,13.11,13.51,三推顶 12.69→13.14→13.45 回撤 90%/60% | 周线OB [13.11-13.51] | 空: 入¥13.45 止¥13.65 标¥12.10 R:R 6.9
002012,凯恩股份,bottom,LONG,1.5,,5.88,2026-07-15,5.71,2026-07-13,miss,1/5,"R1,R2,R3,R4",,True,0.469,True,OB,W,5.67,5.84,三推底 7.15→6.96→5.71 反弹 67%/67% | 周线OB [5.67-5.84] | 多: 入¥5.71 止¥5.61 标¥8.07 R:R 24.4
