ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
002195,岩山科技,bottom,LONG,2.0,,7.05,2026-06-24,6.72,2026-06-11,miss,1/5,"R1,R2,R3,R4",,True,0.549,True,OB+FVG,W,6.46,6.82,三推底 8.57→8.28→6.72 反弹 68%/81% | 周线OB+FVG [6.46-6.82] | 多: 入¥6.72 止¥6.40 标¥9.41 R:R 8.3
002973,侨银股份,bottom,LONG,2.0,,11.72,2026-06-24,11.61,2026-06-24,miss,2/5,"R2,R3,R4",,True,0.917,True,OB+FVG,W,11.45,12.13,三推底 13.32→12.18→11.61 反弹 73%/76% | 周线OB+FVG [11.45-12.13] | 多: 入¥11.61 止¥11.34 标¥14.40 R:R 10.2
301232,飞沃科技,bottom,LONG,2.0,,145.13,2026-06-24,113.88,2026-06-11,miss,2/5,"R1,R3,R4",,True,0.113,True,OB+FVG,W,108.59,155.14,三推底 139.78→130.83→113.88 反弹 61%/88% | 周线OB+FVG [108.59-155.14] | 多: 入¥113.88 止¥107.50 标¥153.97 R:R 6.3
000543,皖能电力,top,SHORT,1.5,,7.95,2026-06-24,9.94,2026-06-01,miss,1/5,"R1,R2,R3,R4",,True,0.492,True,OB,W,8.66,10.09,三推顶 8.31→9.08→9.94 回撤 70%/65% | 周线OB [8.66-10.09] | 空: 入¥9.94 止¥10.19 标¥7.91 R:R 8.1
002012,凯恩股份,bottom,LONG,1.5,,6.91,2026-06-24,6.68,2026-06-24,miss,1/5,"R1,R2,R3,R4",,True,0.469,True,OB,W,6.64,6.99,三推底 7.15→6.96→6.68 反弹 67%/67% | 周线OB [6.64-6.99] | 多: 入¥6.68 止¥6.57 标¥8.07 R:R 13.1
002235,安妮股份,bottom,LONG,1.5,,8.1,2026-06-24,8.01,2026-06-23,miss,2/5,"R2,R3,R4",,True,0.803,True,FVG,W,6.9,8.78,三推底 9.92→9.25→8.01 反弹 69%/75% | 周线FVG [6.90-8.78] | 多: 入¥8.01 止¥6.83 标¥11.00 R:R 2.5
002365,永安药业,bottom,LONG,1.5,,10.97,2026-06-24,10.95,2026-06-24,loose,4/5,R4,0.169,False,,True,OB+FVG,W,10.57,12.62,"MACD宽松底背离 (4/5, 差R4, 强度 0.17) | 周线OB+FVG [10.57-12.62] | 多: 入¥10.95 止¥10.46（无明确目标，仅PDA命中）"
002601,龙佰集团,top,SHORT,1.5,,17.36,2026-06-24,17.42,2026-06-24,miss,1/5,"R1,R2,R3,R4",,True,0.494,True,OB,W,16.69,18.19,三推顶 15.40→15.92→17.42 回撤 63%/72% | 周线OB [16.69-18.19] | 空: 入¥17.42 止¥18.37 标¥13.66 R:R 3.9
002657,中科金财,top,SHORT,1.5,,22.15,2026-06-24,23.98,2026-06-23,miss,1/5,"R1,R2,R3,R4",,True,0.346,True,FVG,W,23.0,24.5,三推顶 19.36→22.10→23.98 回撤 70%/60% | 周线FVG [23.00-24.50] | 空: 入¥23.98 止¥24.75 标¥17.57 R:R 8.4
300055,万邦达,bottom,LONG,1.5,,7.04,2026-06-24,6.9,2026-06-24,miss,1/5,"R1,R2,R3,R4",,True,0.511,True,FVG,W,6.61,6.96,三推底 8.16→7.65→6.90 反弹 64%/79% | 周线FVG [6.61-6.96] | 多: 入¥6.90 止¥6.54 标¥9.14 R:R 6.3
