ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
000513,丽珠集团,top,SHORT,2.0,,30.66,2026-07-27,31.75,2026-07-16,miss,1/5,"R1,R2,R3,R4",,True,0.558,True,OB+FVG,W,29.71,31.92,三推顶 29.99→31.26→31.75 回撤 76%/63% | 周线OB+FVG [29.71-31.92] | 空: 入¥31.75 止¥32.24 标¥28.43 R:R 6.8
600211,西藏药业,top,SHORT,2.0,,37.98,2026-07-27,40.59,2026-07-16,miss,1/5,"R1,R2,R3,R4",,True,0.644,True,OB+FVG,W,40.07,42.4,三推顶 38.00→39.72→40.59 回撤 81%/70% | 周线OB+FVG [40.07-42.40] | 空: 入¥40.59 止¥42.82 标¥35.04 R:R 2.5
603298,杭叉集团,top,SHORT,2.0,,26.87,2026-07-27,27.44,2026-07-23,miss,1/5,"R1,R2,R3,R4",,True,0.579,True,OB+FVG,W,26.69,29.46,三推顶 26.01→27.42→27.44 回撤 82%/80% | 周线OB+FVG [26.69-29.46] | 空: 入¥27.44 止¥29.75 标¥23.02 R:R 1.9
603558,健盛集团,top,SHORT,2.0,,12.61,2026-07-27,12.76,2026-07-27,miss,1/5,"R1,R2,R3,R4",,True,0.854,True,OB+FVG,W,12.76,13.67,三推顶 12.20→12.28→12.76 回撤 73%/78% | 周线OB+FVG [12.76-13.67] | 空: 入¥12.76 止¥13.81 标¥10.97 R:R 1.7
688211,中科微至,top,SHORT,2.0,,28.06,2026-07-27,36.82,2026-07-10,miss,1/5,"R1,R2,R3,R4",,True,0.434,True,OB+FVG,W,34.73,38.66,三推顶 34.82→36.28→36.82 回撤 83%/66% | 周线OB+FVG [34.73-38.66] | 空: 入¥36.82 止¥39.05 标¥30.95 R:R 2.6
000720,新能泰山,top,SHORT,1.5,,3.39,2026-07-27,3.45,2026-07-27,miss,2/5,"R1,R3,R4",,True,0.321,True,FVG,W,3.36,3.56,三推顶 3.36→3.39→3.45 回撤 67%/63% | 周线FVG [3.36-3.56] | 空: 入¥3.45 止¥3.60 标¥3.00 R:R 3.1
000811,冰轮环境,bottom,LONG,1.5,,43.43,2026-07-27,38.93,2026-07-20,miss,2/5,"R1,R3,R4",,True,0.382,True,FVG,W,33.27,40.01,三推底 49.70→48.12→38.93 反弹 68%/64% | 周线FVG [33.27-40.01] | 多: 入¥38.93 止¥32.94 标¥57.68 R:R 3.1
002393,力生制药,top,SHORT,1.5,,13.94,2026-07-27,15.65,2026-07-16,miss,1/5,"R1,R2,R3,R4",,True,0.709,True,FVG,W,15.3,15.82,三推顶 14.89→15.40→15.65 回撤 79%/79% | 周线FVG [15.30-15.82] | 空: 入¥15.65 止¥15.98 标¥13.58 R:R 6.3
002560,通达股份,bottom,LONG,1.5,,6.14,2026-07-27,5.38,2026-07-22,miss,2/5,"R2,R3,R4",,True,0.774,True,FVG,W,5.38,5.81,三推底 8.71→7.99→5.38 反弹 69%/74% | 周线FVG [5.38-5.81] | 多: 入¥5.38 止¥5.33 标¥9.58 R:R 78.1
002595,豪迈科技,bottom,LONG,1.5,,48.8,2026-07-27,45.53,2026-07-08,miss,3/5,"R2,R3",,True,0.164,True,OB,W,44.81,46.48,三推底 47.89→46.35→45.53 反弹 88%/63% | 周线OB [44.81-46.48] | 多: 入¥45.53 止¥44.36 标¥52.21 R:R 5.7
