ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
000737,北方铜业,top,SHORT,2.0,,14.15,2026-08-12,14.69,2026-08-07,miss,2/5,"R1,R3,R4",,True,0.587,True,OB+FVG,W,14.09,15.52,三推顶 13.06→13.76→14.69 回撤 72%/66% | 周线OB+FVG [14.09-15.52] | 空: 入¥14.69 止¥15.68 标¥11.81 R:R 2.9
603298,杭叉集团,top,SHORT,2.0,,26.13,2026-08-12,28.34,2026-07-31,miss,1/5,"R1,R2,R3,R4",,True,0.579,True,OB+FVG,W,27.71,30.36,三推顶 26.01→27.42→28.34 回撤 82%/80% | 周线OB+FVG [27.71-30.36] | 空: 入¥28.34 止¥30.66 标¥23.02 R:R 2.3
603558,健盛集团,top,SHORT,2.0,,12.36,2026-08-12,12.94,2026-07-30,miss,1/5,"R1,R2,R3,R4",,True,0.854,True,OB+FVG,W,12.76,13.67,三推顶 12.20→12.28→12.94 回撤 73%/78% | 周线OB+FVG [12.76-13.67] | 空: 入¥12.94 止¥13.81 标¥10.97 R:R 2.3
000676,智度股份,top,SHORT,1.5,,7.42,2026-08-12,7.88,2026-08-05,miss,1/5,"R1,R2,R3,R4",,True,0.708,True,FVG,W,7.68,8.1,三推顶 6.97→7.82→7.88 回撤 69%/78% | 周线FVG [7.68-8.10] | 空: 入¥7.88 止¥8.18 标¥6.22 R:R 5.5
000782,恒申新材,top,SHORT,1.5,,7.76,2026-08-12,8.02,2026-08-10,miss,1/5,"R1,R2,R3,R4",,True,0.495,True,OB,W,7.2,8.73,三推顶 6.34→6.61→8.02 回撤 79%/64% | 周线OB [7.20-8.73] | 空: 入¥8.02 止¥8.82 标¥5.91 R:R 2.6
000819,岳阳兴长,top,SHORT,1.5,,11.82,2026-08-12,12.29,2026-08-03,miss,1/5,"R1,R2,R3,R4",,True,0.581,True,FVG,W,12.15,12.92,三推顶 11.79→11.84→12.29 回撤 79%/67% | 周线FVG [12.15-12.92] | 空: 入¥12.29 止¥13.05 标¥10.49 R:R 2.4
000852,石化机械,top,SHORT,1.5,,5.32,2026-08-12,5.44,2026-08-03,miss,1/5,"R1,R2,R3,R4",,True,0.543,True,FVG,W,5.14,5.51,三推顶 5.29→5.32→5.44 回撤 84%/71% | 周线FVG [5.14-5.51] | 空: 入¥5.44 止¥5.57 标¥4.84 R:R 4.8
000933,神火股份,top,SHORT,1.5,,27.24,2026-08-12,27.75,2026-08-10,miss,2/5,"R1,R3,R4",,True,0.208,True,OB,W,25.3,28.47,三推顶 26.84→26.96→27.75 回撤 61%/85% | 周线OB [25.30-28.47] | 空: 入¥27.75 止¥28.75 标¥23.77 R:R 4.0
001914,招商积余,top,SHORT,1.5,,8.92,2026-08-12,9.24,2026-07-30,miss,1/5,"R1,R2,R3,R4",,True,0.44,True,FVG,W,8.94,9.27,三推顶 8.68→9.13→9.24 回撤 65%/68% | 周线FVG [8.94-9.27] | 空: 入¥9.24 止¥9.36 标¥8.11 R:R 9.2
002009,天奇股份,top,SHORT,1.5,,18.07,2026-08-12,18.57,2026-08-04,miss,2/5,"R1,R3,R4",,True,0.414,True,OB,W,18.42,22.44,三推顶 16.14→16.60→18.57 回撤 79%/62% | 周线OB [18.42-22.44] | 空: 入¥18.57 止¥22.66 标¥15.27 R:R 0.8
