ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
002479,富春环保,bottom,LONG,2.0,,4.98,2026-06-08,4.95,2026-06-08,miss,2/5,"R2,R3,R4",,True,0.35,True,OB+FVG,W,4.86,5.0,三推底 5.49→5.13→4.95 反弹 84%/65% | 周线OB+FVG [4.86-5.00] | 多: 入¥4.95 止¥4.81 标¥5.87 R:R 6.6
300671,富满微,bottom,LONG,2.0,,40.83,2026-06-08,39.92,2026-06-08,miss,1/5,"R1,R2,R3,R4",,True,0.828,True,OB+FVG,W,35.85,40.43,三推底 49.94→49.01→39.92 反弹 75%/80% | 周线OB+FVG [35.85-40.43] | 多: 入¥39.92 止¥35.49 标¥55.34 R:R 3.5
600111,北方稀土,bottom,LONG,2.0,,46.98,2026-06-08,46.57,2026-06-08,miss,1/5,"R1,R2,R3,R4",,True,0.381,True,OB+FVG,W,46.42,51.55,三推底 48.40→47.77→46.57 反弹 63%/82% | 周线OB+FVG [46.42-51.55] | 多: 入¥46.57 止¥45.96 标¥52.69 R:R 10.0
603477,巨星农牧,top,SHORT,2.0,,14.01,2026-06-08,19.39,2026-05-14,miss,2/5,"R1,R2,R3",,True,0.599,True,OB+FVG,W,18.36,19.51,三推顶 19.08→19.23→19.39 回撤 85%/73% | 周线OB+FVG [18.36-19.51] | 空: 入¥19.39 止¥19.71 标¥16.95 R:R 7.7
603727,博迈科,bottom,LONG,2.0,,14.3,2026-06-08,14.09,2026-06-08,miss,2/5,"R2,R3,R4",,True,0.749,True,OB+FVG,W,13.5,14.8,三推底 17.30→16.70→14.09 反弹 68%/75% | 周线OB+FVG [13.50-14.80] | 多: 入¥14.09 止¥13.37 标¥20.70 R:R 9.1
688167,炬光科技,bottom,LONG,2.0,,414.5,2026-06-08,401.0,2026-06-08,miss,2/5,"R1,R3,R4",,True,0.494,True,OB+FVG,W,341.36,408.83,三推底 457.00→417.00→401.00 反弹 77%/88% | 周线OB+FVG [341.36-408.83] | 多: 入¥401.00 止¥337.95 标¥524.20 R:R 2.0
000027,深圳能源,top,SHORT,1.5,,7.08,2026-06-08,8.45,2026-05-29,miss,1/5,"R1,R2,R3,R4",,True,0.061,True,OB,W,6.93,8.48,三推顶 7.60→8.08→8.45 回撤 60%/88% | 周线OB [6.93-8.48] | 空: 入¥8.45 止¥8.56 标¥6.82 R:R 14.2
000400,许继电气,bottom,LONG,1.5,,22.07,2026-06-08,21.91,2026-06-08,miss,2/5,"R2,R3,R4",,True,0.507,True,OB,W,21.4,22.1,三推底 26.01→25.73→21.91 反弹 80%/85% | 周线OB [21.40-22.10] | 多: 入¥21.91 止¥21.19 标¥27.96 R:R 8.4
000685,中山公用,top,SHORT,1.5,,10.36,2026-06-08,13.04,2026-05-19,miss,2/5,"R2,R3,R4",,True,0.74,True,OB,W,12.29,13.7,三推顶 11.36→11.89→13.04 回撤 79%/71% | 周线OB [12.29-13.70] | 空: 入¥13.04 止¥13.84 标¥10.38 R:R 3.3
000933,神火股份,bottom,LONG,1.5,,26.76,2026-06-08,26.31,2026-06-08,miss,2/5,"R2,R3,R4",,True,0.516,True,OB,W,25.82,27.78,三推底 28.78→28.74→26.31 反弹 81%/67% | 周线OB [25.82-27.78] | 多: 入¥26.31 止¥25.56 标¥33.35 R:R 9.4
001395,亚联机械,top,SHORT,1.5,,35.89,2026-06-08,40.88,2026-04-22,miss,1/5,"R1,R2,R3,R4",,True,0.599,True,FVG,W,39.99,41.66,三推顶 39.78→39.98→40.88 回撤 75%/87% | 周线FVG [39.99-41.66] | 空: 入¥40.88 止¥42.08 标¥37.00 R:R 3.2
002065,东华软件,top,SHORT,1.5,,7.03,2026-06-08,9.03,2026-05-08,miss,2/5,"R1,R3,R4",,True,0.491,True,OB,W,8.28,9.03,三推顶 8.20→8.53→9.03 回撤 72%/62% | 周线OB [8.28-9.03] | 空: 入¥9.03 止¥9.12 标¥7.66 R:R 15.2
002161,远 望 谷,bottom,LONG,1.5,,5.73,2026-06-08,5.65,2026-06-08,miss,3/5,"R3,R4",,True,0.777,True,OB,W,5.25,5.74,三推底 6.57→6.44→5.65 反弹 74%/70% | 周线OB [5.25-5.74] | 多: 入¥5.65 止¥5.20 标¥7.29 R:R 3.6
002195,岩山科技,bottom,LONG,1.5,,7.15,2026-06-08,7.08,2026-06-08,miss,1/5,"R1,R2,R3,R4",,True,0.549,True,FVG,W,6.68,7.4,三推底 8.57→8.28→7.08 反弹 68%/81% | 周线FVG [6.68-7.40] | 多: 入¥7.08 止¥6.61 标¥9.41 R:R 5.0
002222,福晶科技,bottom,LONG,1.5,,86.5,2026-06-08,85.98,2026-06-08,miss,2/5,"R1,R3,R4",,True,0.438,True,OB,W,85.0,91.28,三推底 98.67→91.00→85.98 反弹 65%/68% | 周线OB [85.00-91.28] | 多: 入¥85.98 止¥84.15 标¥114.00 R:R 15.3
002351,漫步者,top,SHORT,1.5,,10.63,2026-06-08,11.49,2026-06-01,miss,2/5,"R2,R3,R4",,True,0.485,True,OB,W,11.19,11.67,三推顶 11.23→11.28→11.49 回撤 81%/84% | 周线OB [11.19-11.67] | 空: 入¥11.49 止¥11.79 标¥10.59 R:R 3.0
002365,永安药业,bottom,LONG,1.5,,11.14,2026-06-08,10.97,2026-06-08,loose,4/5,R4,0.16,False,,True,OB+FVG,W,10.57,12.62,"MACD宽松底背离 (4/5, 差R4, 强度 0.16) | 周线OB+FVG [10.57-12.62] | 多: 入¥10.97 止¥10.46（无明确目标，仅PDA命中）"
002402,和而泰,top,SHORT,1.5,,24.17,2026-06-08,33.92,2026-05-11,miss,1/5,"R1,R2,R3,R4",,True,0.743,True,FVG,W,33.58,35.86,三推顶 30.55→33.59→33.92 回撤 74%/68% | 周线FVG [33.58-35.86] | 空: 入¥33.92 止¥36.22 标¥28.68 R:R 2.3
002429,兆驰股份,bottom,LONG,1.5,,11.12,2026-06-08,11.01,2026-06-08,miss,1/5,"R1,R2,R3,R4",,True,0.081,True,OB,W,9.26,11.1,三推底 12.14→11.20→11.01 反弹 60%/88% | 周线OB [9.26-11.10] | 多: 入¥11.01 止¥9.17 标¥13.39 R:R 1.3
002442,龙星科技,top,SHORT,1.5,,5.17,2026-06-08,8.11,2026-05-22,miss,1/5,"R1,R2,R3,R4",,True,0.574,True,OB,W,5.76,8.11,三推顶 6.30→6.53→8.11 回撤 75%/88% | 周线OB [5.76-8.11] | 空: 入¥8.11 止¥8.19 标¥5.43 R:R 33.0
002562,兄弟科技,bottom,LONG,1.5,,4.72,2026-06-08,4.65,2026-06-08,miss,2/5,"R2,R3,R4",,True,0.491,True,OB,W,4.32,4.68,三推底 5.77→5.42→4.65 反弹 80%/86% | 周线OB [4.32-4.68] | 多: 入¥4.65 止¥4.28 标¥6.21 R:R 4.2
300092,科新机电,top,SHORT,1.5,,13.01,2026-06-08,17.18,2026-05-13,miss,1/5,"R1,R2,R3,R4",,True,0.533,True,OB,W,15.08,17.56,三推顶 16.28→16.92→17.18 回撤 63%/73% | 周线OB [15.08-17.56] | 空: 入¥17.18 止¥17.74 标¥14.10 R:R 5.5
300099,尤洛卡,bottom,LONG,1.5,,7.53,2026-06-08,7.16,2026-06-04,miss,1/5,"R1,R2,R3,R4",,True,0.463,True,OB,W,6.87,7.16,三推底 8.50→8.14→7.16 反弹 79%/63% | 周线OB [6.87-7.16] | 多: 入¥7.16 止¥6.80 标¥10.13 R:R 8.3
300182,捷成股份,top,SHORT,1.5,,6.4,2026-06-08,6.47,2026-06-08,miss,2/5,"R1,R2,R3",,True,0.896,True,OB,W,6.32,9.46,三推顶 6.17→6.25→6.47 回撤 78%/75% | 周线OB [6.32-9.46] | 空: 入¥6.47 止¥9.55 标¥5.36 R:R 0.4
300307,慈星股份,top,SHORT,1.5,,7.45,2026-06-08,7.79,2026-06-05,miss,2/5,"R2,R3,R4",,True,0.308,True,FVG,W,7.74,7.91,三推顶 6.56→7.44→7.79 回撤 63%/66% | 周线FVG [7.74-7.91] | 空: 入¥7.79 止¥7.99 标¥6.18 R:R 8.1
300491,通合科技,top,SHORT,1.5,,31.21,2026-06-08,35.42,2026-05-29,miss,2/5,"R2,R3,R4",,True,0.209,True,OB,W,30.66,37.75,三推顶 27.97→30.00→35.42 回撤 65%/61% | 周线OB [30.66-37.75] | 空: 入¥35.42 止¥38.13 标¥22.53 R:R 4.8
300581,晨曦航空,bottom,LONG,1.5,,10.39,2026-06-08,10.15,2026-06-08,loose,4/5,R4,0.202,False,,True,OB+FVG,W,9.26,10.35,"MACD宽松底背离 (4/5, 差R4, 强度 0.20) | 周线OB+FVG [9.26-10.35] | 多: 入¥10.15 止¥9.17（无明确目标，仅PDA命中）"
300619,金银河,bottom,LONG,1.5,,37.6,2026-06-08,37.4,2026-06-08,miss,1/5,"R1,R2,R3,R4",,True,0.174,True,OB,W,35.39,39.62,三推底 44.81→41.47→37.40 反弹 88%/63% | 周线OB [35.39-39.62] | 多: 入¥37.40 止¥35.04 标¥49.86 R:R 5.3
300755,华致酒行,bottom,LONG,1.5,,15.15,2026-06-08,14.69,2026-06-04,miss,1/5,"R1,R2,R3,R4",,True,0.49,True,OB,W,14.43,16.2,三推底 16.07→15.05→14.69 反弹 71%/86% | 周线OB [14.43-16.20] | 多: 入¥14.69 止¥14.29 标¥18.30 R:R 8.9
300818,耐普矿机,bottom,LONG,1.5,,21.73,2026-06-08,21.38,2026-06-08,miss,3/5,"R2,R3",,True,0.83,True,OB,W,20.93,23.01,三推底 24.64→23.50→21.38 反弹 79%/74% | 周线OB [20.93-23.01] | 多: 入¥21.38 止¥20.72 标¥26.55 R:R 7.8
300836,佰奥智能,bottom,LONG,1.5,,68.18,2026-06-08,66.4,2026-06-08,miss,2/5,"R1,R3,R4",,True,0.731,True,FVG,W,63.88,68.7,三推底 75.37→74.68→66.40 反弹 70%/78% | 周线FVG [63.88-68.70] | 多: 入¥66.40 止¥63.24 标¥81.45 R:R 4.8
301119,正强股份,bottom,LONG,1.5,,32.9,2026-06-08,32.15,2026-06-08,miss,2/5,"R1,R2,R4",,True,0.737,True,FVG,W,30.81,34.28,三推底 40.15→39.33→32.15 反弹 78%/70% | 周线FVG [30.81-34.28] | 多: 入¥32.15 止¥30.50 标¥49.01 R:R 10.2
301177,迪阿股份,top,SHORT,1.5,,23.15,2026-06-08,31.91,2026-05-13,miss,2/5,"R1,R3,R4",,True,0.831,True,OB,W,29.66,32.7,三推顶 28.20→30.54→31.91 回撤 73%/78% | 周线OB [29.66-32.70] | 空: 入¥31.91 止¥33.03 标¥26.43 R:R 4.9
301232,飞沃科技,bottom,LONG,1.5,,119.75,2026-06-08,119.0,2026-06-08,miss,2/5,"R1,R3,R4",,True,0.113,True,OB,W,108.59,155.14,三推底 139.78→130.83→119.00 反弹 61%/88% | 周线OB [108.59-155.14] | 多: 入¥119.00 止¥107.50 标¥153.97 R:R 3.0
301246,宏源药业,bottom,LONG,1.5,,26.84,2026-06-08,26.5,2026-06-08,miss,2/5,"R1,R3,R4",,True,0.328,True,FVG,W,24.69,30.26,三推底 31.28→30.11→26.50 反弹 88%/68% | 周线FVG [24.69-30.26] | 多: 入¥26.50 止¥24.44 标¥35.58 R:R 4.4
301357,北方长龙,bottom,LONG,1.5,,88.11,2026-06-08,86.7,2026-06-08,miss,1/5,"R1,R2,R3,R4",,True,0.345,True,OB,W,73.1,89.4,三推底 112.87→106.70→86.70 反弹 63%/83% | 周线OB [73.10-89.40] | 多: 入¥86.70 止¥72.37 标¥128.50 R:R 2.9
600098,广州发展,top,SHORT,1.5,,7.27,2026-06-08,8.24,2026-06-04,miss,1/5,"R1,R2,R3,R4",,True,0.876,True,OB,W,7.29,8.5,三推顶 7.29→7.71→8.24 回撤 78%/76% | 周线OB [7.29-8.50] | 空: 入¥8.24 止¥8.59 标¥6.88 R:R 3.9
600149,廊坊发展,top,SHORT,1.5,,5.2,2026-06-08,6.89,2026-05-19,miss,1/5,"R1,R2,R3,R4",,True,0.195,True,OB,W,5.92,7.66,三推顶 6.50→6.74→6.89 回撤 61%/65% | 周线OB [5.92-7.66] | 空: 入¥6.89 止¥7.74 标¥5.63 R:R 1.5
600231,凌钢股份,top,SHORT,1.5,,1.9,2026-06-08,2.26,2026-04-29,miss,1/5,"R1,R2,R3,R4",,True,0.157,True,OB,W,2.25,2.55,三推顶 2.09→2.10→2.26 回撤 63%/62% | 周线OB [2.25-2.55] | 空: 入¥2.26 止¥2.58 标¥1.90 R:R 1.1
600300,维维股份,top,SHORT,1.5,,3.08,2026-06-08,3.8,2026-04-30,miss,2/5,"R1,R3,R4",,True,0.41,True,OB,W,3.65,3.8,三推顶 3.67→3.72→3.80 回撤 62%/79% | 周线OB [3.65-3.80] | 空: 入¥3.80 止¥3.84 标¥3.20 R:R 15.8
600310,广西能源,top,SHORT,1.5,,5.23,2026-06-08,6.35,2026-06-03,miss,1/5,"R1,R2,R3,R4",,True,0.369,True,OB,W,4.53,6.6,三推顶 5.62→6.25→6.35 回撤 83%/64% | 周线OB [4.53-6.60] | 空: 入¥6.35 止¥6.67 标¥4.96 R:R 4.4
600461,洪城环境,top,SHORT,1.5,,9.48,2026-06-08,10.54,2026-05-20,miss,2/5,"R2,R3,R4",,True,0.198,True,OB,W,10.23,10.55,三推顶 10.13→10.51→10.54 回撤 90%/66% | 周线OB [10.23-10.55] | 空: 入¥10.54 止¥10.66 标¥9.45 R:R 9.4
600477,杭萧钢构,bottom,LONG,1.5,,2.6,2026-06-08,2.56,2026-06-08,miss,2/5,"R2,R3,R4",,True,0.722,True,FVG,W,2.51,2.56,三推底 3.03→2.91→2.56 反弹 75%/67% | 周线FVG [2.51-2.56] | 多: 入¥2.56 止¥2.48 标¥3.31 R:R 10.0
600480,凌云股份,bottom,LONG,1.5,,10.12,2026-06-08,9.99,2026-06-08,miss,2/5,"R1,R3,R4",,True,0.655,True,OB,W,9.41,10.07,三推底 11.43→11.22→9.99 反弹 72%/68% | 周线OB [9.41-10.07] | 多: 入¥9.99 止¥9.32 标¥12.39 R:R 3.6
600710,苏美达,bottom,LONG,1.5,,10.9,2026-06-08,10.8,2026-06-08,miss,1/5,"R1,R2,R3,R4",,True,0.98,True,OB,W,10.74,11.09,三推底 12.03→11.52→10.80 反弹 75%/76% | 周线OB [10.74-11.09] | 多: 入¥10.80 止¥10.63 标¥12.99 R:R 13.1
600805,悦达投资,bottom,LONG,1.5,,4.46,2026-06-08,4.4,2026-06-08,miss,2/5,"R2,R3,R4",,True,0.584,True,OB,W,4.24,4.42,三推底 5.02→4.93→4.40 反弹 72%/65% | 周线OB [4.24-4.42] | 多: 入¥4.40 止¥4.20 标¥5.85 R:R 7.2
601218,吉鑫科技,bottom,LONG,1.5,,4.87,2026-06-08,4.81,2026-06-08,miss,1/5,"R1,R2,R3,R4",,True,0.632,True,OB,W,4.7,5.34,三推底 6.41→6.31→4.81 反弹 75%/86% | 周线OB [4.70-5.34] | 多: 入¥4.81 止¥4.65 标¥6.85 R:R 13.0
