ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
000757,浩物股份,top,SHORT,2.0,,4.41,2026-05-25,4.98,2026-05-11,miss,2/5,"R1,R3,R4",,True,0.694,True,OB+FVG,W,4.97,6.48,三推顶 4.86→4.87→4.98 回撤 81%/78% | 周线OB+FVG [4.97-6.48] | 空: 入¥4.98 止¥6.54 标¥4.43 R:R 0.4
300973,立高食品,top,SHORT,2.0,,27.05,2026-05-25,34.57,2026-04-21,miss,1/5,"R1,R2,R3,R4",,True,0.657,True,OB+FVG,W,33.18,34.57,三推顶 33.65→33.86→34.57 回撤 79%/81% | 周线OB+FVG [33.18-34.57] | 空: 入¥34.57 止¥34.92 标¥31.33 R:R 9.4
601825,沪农商行,top,SHORT,2.0,,8.51,2026-05-25,9.31,2026-04-15,miss,1/5,"R1,R2,R3,R4",,True,0.355,True,OB+FVG,W,9.01,9.33,三推顶 8.70→8.96→9.31 回撤 70%/61% | 周线OB+FVG [9.01-9.33] | 空: 入¥9.31 止¥9.42 标¥8.20 R:R 9.8
603477,巨星农牧,top,SHORT,2.0,,16.6,2026-05-25,19.39,2026-05-14,miss,2/5,"R1,R2,R3",,True,0.599,True,OB+FVG,W,18.36,19.51,三推顶 19.08→19.23→19.39 回撤 85%/73% | 周线OB+FVG [18.36-19.51] | 空: 入¥19.39 止¥19.71 标¥16.95 R:R 7.7
603816,顾家家居,bottom,LONG,2.0,,28.92,2026-05-25,28.17,2026-05-22,loose,4/5,R2,0.21,True,0.371,True,FVG,W,27.75,28.27,"三推底 32.65→28.33→28.17 反弹 83%/86% | MACD宽松底背离 (4/5, 差R2, 强度 0.21) | 周线FVG [27.75-28.27] | 多: 入¥28.17 止¥27.47 标¥34.93 R:R 9.7"
000526,学大教育,top,SHORT,1.5,,31.31,2026-05-25,35.79,2026-05-11,miss,1/5,"R1,R2,R3,R4",,True,0.759,True,FVG,W,35.78,36.68,三推顶 33.66→35.28→35.79 回撤 71%/72% | 周线FVG [35.78-36.68] | 空: 入¥35.79 止¥37.05 标¥30.06 R:R 4.6
000626,远大控股,top,SHORT,1.5,,7.86,2026-05-25,9.64,2026-05-08,miss,2/5,"R1,R2,R4",,True,0.434,True,OB,W,6.43,9.76,三推顶 9.20→9.60→9.64 回撤 79%/62% | 周线OB [6.43-9.76] | 空: 入¥9.64 止¥9.86 标¥8.23 R:R 6.5
000685,中山公用,top,SHORT,1.5,,12.15,2026-05-25,13.04,2026-05-19,miss,2/5,"R2,R3,R4",,True,0.74,True,OB,W,12.29,13.7,三推顶 11.36→11.89→13.04 回撤 79%/71% | 周线OB [12.29-13.70] | 空: 入¥13.04 止¥13.84 标¥10.38 R:R 3.3
000969,安泰科技,top,SHORT,1.5,,24.01,2026-05-25,24.1,2026-05-25,miss,1/5,"R1,R2,R3,R4",,True,0.473,True,OB,W,23.8,25.63,三推顶 22.21→22.79→24.10 回撤 81%/85% | 周线OB [23.80-25.63] | 空: 入¥24.10 止¥25.89 标¥20.00 R:R 2.3
001395,亚联机械,top,SHORT,1.5,,37.6,2026-05-25,40.88,2026-04-22,miss,1/5,"R1,R2,R3,R4",,True,0.599,True,FVG,W,39.99,41.66,三推顶 39.78→39.98→40.88 回撤 75%/87% | 周线FVG [39.99-41.66] | 空: 入¥40.88 止¥42.08 标¥37.00 R:R 3.2
001896,豫能控股,top,SHORT,1.5,,16.92,2026-05-25,17.3,2026-05-25,miss,2/5,"R2,R3,R4",,True,0.546,True,OB,W,14.58,17.7,三推顶 16.19→16.37→17.30 回撤 83%/81% | 周线OB [14.58-17.70] | 空: 入¥17.30 止¥17.88 标¥14.51 R:R 4.8
002026,山东威达,top,SHORT,1.5,,12.81,2026-05-25,13.54,2026-05-08,miss,1/5,"R1,R2,R3,R4",,True,0.562,True,FVG,W,13.07,13.54,三推顶 13.05→13.45→13.54 回撤 62%/74% | 周线FVG [13.07-13.54] | 空: 入¥13.54 止¥13.68 标¥12.12 R:R 10.5
002037,保利联合,bottom,LONG,1.5,,7.75,2026-05-25,7.66,2026-05-25,miss,2/5,"R1,R3,R4",,True,0.37,True,OB,W,7.5,7.99,三推底 8.07→7.92→7.66 反弹 60%/71% | 周线OB [7.50-7.99] | 多: 入¥7.66 止¥7.42 标¥9.18 R:R 6.5
002039,黔源电力,bottom,LONG,1.5,,20.44,2026-05-25,19.78,2026-05-22,miss,2/5,"R1,R3,R4",,True,0.464,True,OB,W,18.1,20.74,三推底 20.13→20.01→19.78 反弹 70%/86% | 周线OB [18.10-20.74] | 多: 入¥19.78 止¥17.92 标¥22.08 R:R 1.2
002056,横店东磁,top,SHORT,1.5,,22.41,2026-05-25,22.41,2026-05-25,miss,1/5,"R1,R2,R3,R4",,True,0.463,True,OB,W,20.45,25.84,三推顶 19.97→20.15→22.41 回撤 79%/63% | 周线OB [20.45-25.84] | 空: 入¥22.41 止¥26.10 标¥17.88 R:R 1.2
002106,莱宝高科,top,SHORT,1.5,,11.86,2026-05-25,12.22,2026-05-25,miss,1/5,"R1,R2,R3,R4",,True,0.518,True,OB,W,11.72,12.93,三推顶 10.96→11.34→12.22 回撤 85%/71% | 周线OB [11.72-12.93] | 空: 入¥12.22 止¥13.06 标¥10.28 R:R 2.3
002155,湖南黄金,bottom,LONG,1.5,,25.47,2026-05-25,24.66,2026-05-21,miss,2/5,"R1,R2,R4",,True,0.51,True,FVG,W,21.9,25.27,三推底 29.06→27.71→24.66 反弹 81%/84% | 周线FVG [21.90-25.27] | 多: 入¥24.66 止¥21.68 标¥32.07 R:R 2.5
002195,岩山科技,bottom,LONG,1.5,,8.05,2026-05-25,7.93,2026-05-25,miss,1/5,"R1,R2,R3,R4",,True,0.549,True,FVG,W,7.18,10.6,三推底 8.57→8.28→7.93 反弹 68%/81% | 周线FVG [7.18-10.60] | 多: 入¥7.93 止¥7.11 标¥9.41 R:R 1.8
002402,和而泰,top,SHORT,1.5,,30.6,2026-05-25,33.92,2026-05-11,miss,1/5,"R1,R2,R3,R4",,True,0.743,True,FVG,W,33.58,35.86,三推顶 30.55→33.59→33.92 回撤 74%/68% | 周线FVG [33.58-35.86] | 空: 入¥33.92 止¥36.22 标¥28.68 R:R 2.3
002422,科伦药业,bottom,LONG,1.5,,34.36,2026-05-25,30.3,2026-05-18,miss,1/5,"R1,R2,R3,R4",,True,0.794,True,FVG,W,29.04,31.36,三推底 32.97→32.09→30.30 反弹 78%/72% | 周线FVG [29.04-31.36] | 多: 入¥30.30 止¥28.75 标¥36.39 R:R 3.9
002492,恒基达鑫,top,SHORT,1.5,,6.74,2026-05-25,8.36,2026-04-27,miss,1/5,"R1,R2,R3,R4",,True,0.537,True,FVG,W,8.35,8.67,三推顶 7.57→8.08→8.36 回撤 66%/80% | 周线FVG [8.35-8.67] | 空: 入¥8.36 止¥8.76 标¥6.98 R:R 3.5
002515,金字火腿,top,SHORT,1.5,,7.0,2026-05-25,8.1,2026-05-19,miss,2/5,"R2,R3,R4",,True,0.262,True,OB,W,6.88,8.47,三推顶 6.85→7.80→8.10 回撤 84%/61% | 周线OB [6.88-8.47] | 空: 入¥8.10 止¥8.55 标¥5.88 R:R 4.9
