ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
000737,北方铜业,top,SHORT,2.0,,14.39,2026-08-05,14.42,2026-08-05,miss,2/5,"R1,R3,R4",,True,0.587,True,OB+FVG,W,14.09,15.52,三推顶 13.06→13.76→14.42 回撤 72%/66% | 周线OB+FVG [14.09-15.52] | 空: 入¥14.42 止¥15.68 标¥11.81 R:R 2.1
300227,光韵达,top,SHORT,2.0,,10.45,2026-08-05,10.64,2026-08-05,miss,2/5,"R1,R3,R4",,True,0.68,True,OB+FVG,W,10.52,14.02,三推顶 8.42→8.68→10.64 回撤 80%/80% | 周线OB+FVG [10.52-14.02] | 空: 入¥10.64 止¥14.16 标¥7.93 R:R 0.8
300849,锦盛新材,top,SHORT,2.0,,20.9,2026-08-05,21.14,2026-08-05,miss,2/5,"R1,R3,R4",,True,0.525,True,OB+FVG,W,20.8,25.22,三推顶 17.94→18.15→21.14 回撤 72%/64% | 周线OB+FVG [20.80-25.22] | 空: 入¥21.14 止¥25.47 标¥16.60 R:R 1.0
603271,永杰新材,bottom,LONG,2.0,,43.12,2026-08-05,40.7,2026-07-30,miss,3/5,"R2,R3",,True,0.397,True,OB+FVG,W,39.99,42.77,三推底 41.70→40.93→40.70 反弹 67%/85% | 周线OB+FVG [39.99-42.77] | 多: 入¥40.70 止¥39.59 标¥46.96 R:R 5.6
603298,杭叉集团,top,SHORT,2.0,,27.23,2026-08-05,28.34,2026-07-31,miss,1/5,"R1,R2,R3,R4",,True,0.579,True,OB+FVG,W,27.71,30.36,三推顶 26.01→27.42→28.34 回撤 82%/80% | 周线OB+FVG [27.71-30.36] | 空: 入¥28.34 止¥30.66 标¥23.02 R:R 2.3
603558,健盛集团,top,SHORT,2.0,,12.76,2026-08-05,12.94,2026-07-30,miss,1/5,"R1,R2,R3,R4",,True,0.854,True,OB+FVG,W,12.76,13.67,三推顶 12.20→12.28→12.94 回撤 73%/78% | 周线OB+FVG [12.76-13.67] | 空: 入¥12.94 止¥13.81 标¥10.97 R:R 2.3
000676,智度股份,top,SHORT,1.5,,7.85,2026-08-05,7.88,2026-08-05,miss,1/5,"R1,R2,R3,R4",,True,0.708,True,FVG,W,7.68,8.1,三推顶 6.97→7.82→7.88 回撤 69%/78% | 周线FVG [7.68-8.10] | 空: 入¥7.88 止¥8.18 标¥6.22 R:R 5.5
000782,恒申新材,top,SHORT,1.5,,7.47,2026-08-05,7.48,2026-08-05,miss,2/5,"R1,R2,R3",,True,0.495,True,OB,W,7.2,8.73,三推顶 6.34→6.61→7.48 回撤 79%/64% | 周线OB [7.20-8.73] | 空: 入¥7.48 止¥8.82 标¥5.91 R:R 1.2
000819,岳阳兴长,top,SHORT,1.5,,12.04,2026-08-05,12.29,2026-08-03,miss,1/5,"R1,R2,R3,R4",,True,0.581,True,FVG,W,12.15,12.92,三推顶 11.79→11.84→12.29 回撤 79%/67% | 周线FVG [12.15-12.92] | 空: 入¥12.29 止¥13.05 标¥10.49 R:R 2.4
000852,石化机械,top,SHORT,1.5,,5.37,2026-08-05,5.44,2026-08-03,miss,1/5,"R1,R2,R3,R4",,True,0.543,True,FVG,W,5.14,5.51,三推顶 5.29→5.32→5.44 回撤 84%/71% | 周线FVG [5.14-5.51] | 空: 入¥5.44 止¥5.57 标¥4.84 R:R 4.8
001301,尚太科技,top,SHORT,1.5,,53.77,2026-08-05,56.98,2026-07-30,miss,1/5,"R1,R2,R3,R4",,True,0.414,True,FVG,W,53.7,61.01,三推顶 52.88→56.51→56.98 回撤 82%/65% | 周线FVG [53.70-61.01] | 空: 入¥56.98 止¥61.62 标¥48.29 R:R 1.9
001914,招商积余,top,SHORT,1.5,,8.79,2026-08-05,9.24,2026-07-30,miss,1/5,"R1,R2,R3,R4",,True,0.44,True,FVG,W,8.94,9.27,三推顶 8.68→9.13→9.24 回撤 65%/68% | 周线FVG [8.94-9.27] | 空: 入¥9.24 止¥9.36 标¥8.11 R:R 9.2
002009,天奇股份,top,SHORT,1.5,,17.97,2026-08-05,18.57,2026-08-04,miss,2/5,"R1,R3,R4",,True,0.414,True,OB,W,18.42,22.44,三推顶 16.14→16.60→18.57 回撤 79%/62% | 周线OB [18.42-22.44] | 空: 入¥18.57 止¥22.66 标¥15.27 R:R 0.8
002160,常铝股份,top,SHORT,1.5,,3.9,2026-08-05,3.94,2026-08-05,miss,1/5,"R1,R2,R3,R4",,True,0.571,True,FVG,W,3.87,4.3,三推顶 3.69→3.76→3.94 回撤 87%/74% | 周线FVG [3.87-4.30] | 空: 入¥3.94 止¥4.34 标¥3.46 R:R 1.2
002251,步步高,top,SHORT,1.5,,3.78,2026-08-05,3.81,2026-08-05,miss,1/5,"R1,R2,R3,R4",,True,0.145,True,OB,W,3.66,4.88,三推顶 3.54→3.70→3.81 回撤 88%/87% | 周线OB [3.66-4.88] | 空: 入¥3.81 止¥4.93 标¥3.28 R:R 0.5
002327,富安娜,top,SHORT,1.5,,6.51,2026-08-05,6.65,2026-08-03,miss,2/5,"R1,R3,R4",,True,0.306,True,FVG,W,6.45,6.75,三推顶 6.46→6.56→6.65 回撤 64%/84% | 周线FVG [6.45-6.75] | 空: 入¥6.65 止¥6.82 标¥5.91 R:R 4.4
002560,通达股份,bottom,LONG,1.5,,6.49,2026-08-05,5.38,2026-07-22,miss,2/5,"R2,R3,R4",,True,0.774,True,FVG,W,5.38,5.81,三推底 8.71→7.99→5.38 反弹 69%/74% | 周线FVG [5.38-5.81] | 多: 入¥5.38 止¥5.33 标¥9.58 R:R 78.1
002635,安洁科技,top,SHORT,1.5,,14.65,2026-08-05,14.89,2026-08-05,miss,2/5,"R1,R3,R4",,True,0.518,True,FVG,W,14.27,16.75,三推顶 13.58→13.73→14.89 回撤 73%/88% | 周线FVG [14.27-16.75] | 空: 入¥14.89 止¥16.92 标¥12.35 R:R 1.3
002786,银宝山新,bottom,LONG,1.5,,7.73,2026-08-05,6.98,2026-07-24,miss,1/5,"R1,R2,R3,R4",,True,0.544,True,OB,W,6.91,7.24,三推底 7.23→7.20→6.98 反弹 77%/87% | 周线OB [6.91-7.24] | 多: 入¥6.98 止¥6.84 标¥8.48 R:R 10.8
002901,大博医疗,top,SHORT,1.5,,43.42,2026-08-05,48.74,2026-07-15,miss,1/5,"R1,R2,R3,R4",,True,0.065,True,OB,W,47.35,49.27,三推顶 43.25→46.58→48.74 回撤 60%/62% | 周线OB [47.35-49.27] | 空: 入¥48.74 止¥49.76 标¥39.58 R:R 9.0
002959,小熊电器,top,SHORT,1.5,,34.3,2026-08-05,34.95,2026-08-03,miss,2/5,"R1,R3,R4",,True,0.276,True,FVG,W,34.7,35.74,三推顶 33.42→34.02→34.95 回撤 67%/89% | 周线FVG [34.70-35.74] | 空: 入¥34.95 止¥36.10 标¥30.80 R:R 3.6
002962,五方光电,top,SHORT,1.5,,12.97,2026-08-05,13.04,2026-08-05,miss,2/5,"R1,R3,R4",,True,0.222,True,FVG,W,12.32,14.17,三推顶 11.85→12.04→13.04 回撤 62%/65% | 周线FVG [12.32-14.17] | 空: 入¥13.04 止¥14.31 标¥10.96 R:R 1.6
002983,芯瑞达,top,SHORT,1.5,,19.4,2026-08-05,19.5,2026-08-05,miss,2/5,"R1,R2,R3",,True,0.725,True,FVG,W,19.15,23.1,三推顶 18.07→18.44→19.50 回撤 79%/71% | 周线FVG [19.15-23.10] | 空: 入¥19.50 止¥23.33 标¥17.03 R:R 0.6
002984,森麒麟,top,SHORT,1.5,,14.5,2026-08-05,15.18,2026-08-03,miss,1/5,"R1,R2,R3,R4",,True,0.519,True,OB,W,14.01,15.39,三推顶 14.23→14.37→15.18 回撤 78%/64% | 周线OB [14.01-15.39] | 空: 入¥15.18 止¥15.54 标¥13.03 R:R 5.9
300284,苏交科,top,SHORT,1.5,,5.52,2026-08-05,5.75,2026-08-03,miss,2/5,"R1,R3,R4",,True,0.719,True,OB,W,5.55,6.23,三推顶 5.30→5.44→5.75 回撤 70%/71% | 周线OB [5.55-6.23] | 空: 入¥5.75 止¥6.29 标¥4.86 R:R 1.6
300706,阿石创,bottom,LONG,1.5,,48.71,2026-08-05,41.7,2026-08-03,miss,2/5,"R1,R3,R4",,True,0.587,True,FVG,W,40.95,42.6,三推底 47.52→42.03→41.70 反弹 69%/69% | 周线FVG [40.95-42.60] | 多: 入¥41.70 止¥40.54 标¥50.91 R:R 7.9
300885,海昌新材,top,SHORT,1.5,,20.94,2026-08-05,21.1,2026-08-05,miss,2/5,"R1,R3,R4",,True,0.465,True,FVG,W,19.93,21.48,三推顶 19.19→19.48→21.10 回撤 72%/88% | 周线FVG [19.93-21.48] | 空: 入¥21.10 止¥21.69 标¥17.88 R:R 5.4
301040,中环海陆,top,SHORT,1.5,,25.76,2026-08-06,26.25,2026-08-06,miss,1/5,"R1,R2,R3,R4",,True,0.281,True,FVG,W,25.8,27.68,三推顶 22.92→23.38→26.25 回撤 85%/87% | 周线FVG [25.80-27.68] | 空: 入¥26.25 止¥27.96 标¥20.92 R:R 3.1
301581,黄山谷捷,top,SHORT,1.5,,35.86,2026-08-06,36.15,2026-08-05,miss,2/5,"R1,R3,R4",,True,0.587,True,FVG,W,34.76,36.32,三推顶 33.65→35.57→36.15 回撤 66%/71% | 周线FVG [34.76-36.32] | 空: 入¥36.15 止¥36.68 标¥31.51 R:R 8.7
600010,包钢股份,top,SHORT,1.5,,2.27,2026-08-05,2.29,2026-08-05,miss,1/5,"R1,R2,R3,R4",,True,0.464,True,FVG,W,2.26,2.38,三推顶 2.19→2.23→2.29 回撤 87%/71% | 周线FVG [2.26-2.38] | 空: 入¥2.29 止¥2.40 标¥2.04 R:R 2.2
600062,华润双鹤,top,SHORT,1.5,,16.18,2026-08-05,17.65,2026-07-16,miss,1/5,"R1,R2,R3,R4",,True,0.66,True,FVG,W,17.56,17.78,三推顶 16.77→17.23→17.65 回撤 66%/74% | 周线FVG [17.56-17.78] | 空: 入¥17.65 止¥17.96 标¥15.60 R:R 6.7
600176,中国巨石,bottom,LONG,1.5,,39.28,2026-08-05,34.06,2026-08-03,miss,1/5,"R1,R2,R3,R4",,True,0.356,True,OB,W,31.03,34.4,三推底 36.73→35.55→34.06 反弹 67%/86% | 周线OB [31.03-34.40] | 多: 入¥34.06 止¥30.72 标¥43.25 R:R 2.8
600380,健康元,top,SHORT,1.5,,10.11,2026-08-05,10.7,2026-07-16,miss,1/5,"R1,R2,R3,R4",,True,0.392,True,FVG,W,10.48,10.74,三推顶 9.77→10.26→10.70 回撤 80%/61% | 周线FVG [10.48-10.74] | 空: 入¥10.70 止¥10.85 标¥9.28 R:R 9.6
600490,鹏欣资源,top,SHORT,1.5,,7.02,2026-08-05,7.1,2026-08-05,miss,2/5,"R1,R3,R4",,True,0.278,True,FVG,W,6.83,7.13,三推顶 6.38→6.70→7.10 回撤 89%/68% | 周线FVG [6.83-7.13] | 空: 入¥7.10 止¥7.20 标¥5.63 R:R 14.5
600675,中华企业,top,SHORT,1.5,,2.26,2026-08-05,2.34,2026-08-03,miss,2/5,"R1,R3,R4",,True,0.956,True,OB,W,2.32,2.46,三推顶 2.15→2.25→2.34 回撤 75%/74% | 周线OB [2.32-2.46] | 空: 入¥2.34 止¥2.48 标¥2.03 R:R 2.1
600679,上海凤凰,top,SHORT,1.5,,9.5,2026-08-05,9.74,2026-08-03,miss,2/5,"R1,R3,R4",,True,0.454,True,OB,W,9.67,11.48,三推顶 9.25→9.43→9.74 回撤 69%/86% | 周线OB [9.67-11.48] | 空: 入¥9.74 止¥11.59 标¥8.50 R:R 0.7
600773,西藏城投,top,SHORT,1.5,,11.0,2026-08-05,11.06,2026-08-05,miss,1/5,"R1,R2,R3,R4",,True,0.546,True,FVG,W,10.66,12.03,三推顶 10.66→10.83→11.06 回撤 73%/64% | 周线FVG [10.66-12.03] | 空: 入¥11.06 止¥12.15 标¥9.75 R:R 1.2
600855,航天长峰,bottom,LONG,1.5,,12.68,2026-08-05,11.11,2026-07-22,miss,2/5,"R2,R3,R4",,True,0.522,True,FVG,W,10.74,12.51,三推底 13.37→12.66→11.11 反弹 65%/80% | 周线FVG [10.74-12.51] | 多: 入¥11.11 止¥10.63 标¥15.45 R:R 9.1
