ticker,name,direction,signal,score,market_cap_yi,last_close,last_date,target_price,target_date,macd_kind,macd_passed,macd_failed_rules,macd_strength,three_push_hit,three_push_quality,pda_hit,pda_quality,pda_timeframe,pda_zone_low,pda_zone_high,notes
001360,南矿集团,top,SHORT,2.0,,21.28,2026-09-21,21.84,2026-09-21,miss,1/5,"R1,R2,R3,R4",,True,0.865,True,OB+FVG,W,18.55,22.19,三推顶 19.38→20.28→21.84 回撤 74%/78% | 周线OB+FVG [18.55-22.19] | 空: 入¥21.84 止¥22.41 标¥16.42 R:R 9.5
002271,东方雨虹,bottom,LONG,2.0,,10.73,2026-09-21,10.02,2026-09-17,miss,2/5,"R2,R3,R4",,True,0.64,True,OB+FVG,W,9.62,10.11,三推底 10.75→10.51→10.02 反弹 65%/74% | 周线OB+FVG [9.62-10.11] | 多: 入¥10.02 止¥9.52 标¥12.06 R:R 4.1
002273,水晶光电,bottom,LONG,2.0,,25.61,2026-09-21,23.85,2026-09-15,miss,1/5,"R1,R2,R3,R4",,True,0.393,True,OB+FVG,W,22.77,24.83,三推底 24.76→24.67→23.85 反弹 67%/65% | 周线OB+FVG [22.77-24.83] | 多: 入¥23.85 止¥22.54 标¥27.99 R:R 3.2
002779,中坚科技,top,SHORT,2.0,,84.99,2026-09-21,85.97,2026-09-21,miss,3/5,"R2,R3",,True,0.683,True,OB+FVG,W,69.5,86.7,三推顶 79.99→83.44→85.97 回撤 77%/67% | 周线OB+FVG [69.50-86.70] | 空: 入¥85.97 止¥87.57 标¥71.92 R:R 8.8
300568,星源材质,top,SHORT,2.0,,16.05,2026-09-21,16.35,2026-09-21,miss,1/5,"R1,R2,R3,R4",,True,0.273,True,OB+FVG,W,15.96,21.43,三推顶 14.55→15.19→16.35 回撤 82%/90% | 周线OB+FVG [15.96-21.43] | 空: 入¥16.35 止¥21.64 标¥13.66 R:R 0.5
300902,国安达,top,SHORT,2.0,,17.95,2026-09-21,18.13,2026-09-21,miss,1/5,"R1,R2,R3,R4",,True,0.271,True,OB+FVG,W,17.87,18.46,三推顶 17.37→17.80→18.13 回撤 84%/88% | 周线OB+FVG [17.87-18.46] | 空: 入¥18.13 止¥18.64 标¥14.82 R:R 6.4
600157,永泰能源,bottom,LONG,2.0,,1.52,2026-09-21,1.52,2026-09-15,miss,1/5,"R1,R2,R3,R4",,True,0.643,True,OB+FVG,W,1.43,1.54,三推底 1.56→1.54→1.52 反弹 86%/75% | 周线OB+FVG [1.43-1.54] | 多: 入¥1.52 止¥1.42 标¥1.63 R:R 1.1
601921,浙版传媒,top,SHORT,2.0,,7.5,2026-09-21,7.8,2026-09-08,miss,1/5,"R1,R2,R3,R4",,True,0.312,True,OB+FVG,W,7.14,7.8,三推顶 7.49→7.73→7.80 回撤 62%/83% | 周线OB+FVG [7.14-7.80] | 空: 入¥7.80 止¥7.88 标¥6.86 R:R 12.1
603071,物产环能,top,SHORT,2.0,,12.48,2026-09-21,13.2,2026-08-18,miss,1/5,"R1,R2,R3,R4",,True,0.397,True,OB+FVG,W,12.92,14.11,三推顶 11.82→12.16→13.20 回撤 66%/66% | 周线OB+FVG [12.92-14.11] | 空: 入¥13.20 止¥14.25 标¥10.89 R:R 2.2
688231,隆达股份,top,SHORT,2.0,,35.18,2026-09-21,35.26,2026-09-21,miss,1/5,"R1,R2,R3,R4",,True,0.452,True,OB+FVG,W,33.01,42.82,三推顶 31.42→35.07→35.26 回撤 89%/77% | 周线OB+FVG [33.01-42.82] | 空: 入¥35.26 止¥43.25 标¥28.01 R:R 0.9
